Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47
6.61402,1.023698568,1.014724016,1.020079136,1.025866628,1.025402665,1.023501754,1.014724016,1.030420423,1.020474792,1.019227982,1.022379279,1.031421781,1.025402665,1.011639118,1.021831155,1.030420423,1.018941641,1.014724016,1.028682709,1.030420423,1.024525523,1.020815134,1.024978876,1.05194819,1.026727557,1.018793941,1.026491642,1.02259922,1.017199039,1.022663951,1.023698568,1.026894927,1.013302565,1.012310028,1.020474792,1.014724016,1.015453935,1.019989252,1.028840184,1.022926927,1.022379279,1.026706934,1.035760999,1.020474792,1.012492418,1.026427031,1.024525523
6.62235,1.023653984,1.015162349,1.020059228,1.025707722,1.025302887,1.023391247,1.015162349,1.030337811,1.0204283,1.019073725,1.022230387,1.031333327,1.025302887,1.011886477,1.021782279,1.030337811,1.018911481,1.015162349,1.02865231,1.030337811,1.024901032,1.020789266,1.024909854,1.05203414,1.026657224,1.018707395,1.026425242,1.022542953,1.017168403,1.022592187,1.023653984,1.02681303,1.01363492,1.012505054,1.0204283,1.015162349,1.01543951,1.01995337,1.028708696,1.022883892,1.022230387,1.026646137,1.034589171,1.0204283,1.012479782,1.026365995,1.024901032
6.63068,1.023608208,1.015591621,1.020041347,1.025548577,1.025201917,1.023288608,1.015591621,1.030254006,1.020382881,1.01892674,1.022086382,1.031243205,1.025201917,1.012118816,1.021732807,1.030254006,1.018880963,1.015591621,1.028619766,1.030254006,1.025255561,1.020762682,1.024840593,1.052132845,1.026586652,1.018622398,1.026358008,1.022487164,1.017137766,1.022521138,1.023608208,1.026731014,1.013974905,1.012708068,1.020382881,1.015591621,1.015424967,1.019916892,1.028573155,1.0228405,1.022086382,1.026584268,1.033465743,1.020382881,1.012467265,1.026304007,1.025255561
6.63901,1.023561001,1.016025543,1.020025253,1.025389433,1.02510035,1.023193717,1.016025543,1.03016901,1.020338178,1.018783569,1.021947503,1.031151891,1.02510035,1.012338519,1.021682501,1.03016901,1.01884973,1.016025543,1.028585196,1.03016901,1.025600433,1.020735502,1.024771094,1.052002668,1.026515722,1.01853931,1.026290178,1.02243197,1.017107248,1.022450924,1.023561001,1.026648998,1.014334917,1.012930393,1.020338178,1.016025543,1.015410185,1.019879818,1.028434277,1.022796631,1.021947503,1.026521564,1.032406807,1.020338178,1.012454748,1.026241064,1.025600433
6.64734,1.023512363,1.016459942,1.020011067,1.025230885,1.024998426,1.023106456,1.016459942,1.030082822,1.020294309,1.018645406,1.021814346,1.031059265,1.024998426,1.012550592,1.021631598,1.030082822,1.018818021,1.016459942,1.028548479,1.030082822,1.025939822,1.020707607,1.024701357,1.051719904,1.026444912,1.018458247,1.026221514,1.022377014,1.017076492,1.022381544,1.023512363,1.026566982,1.014720082,1.013155103,1.020294309,1.016459942,1.015395284,1.019842386,1.028292537,1.022752285,1.021814346,1.026457906,1.031428456,1.020294309,1.012442231,1.026177406,1.025939822
6.65567,1.023462772,1.016905427,1.019998431,1.025072694,1.024896026,1.023026824,1.016905427,1.029995441,1.020251155,1.018512726,1.021686435,1.030965686,1.024896026,1.012768626,1.021579862,1.029995441,1.018785715,1.016905427,1.028509498,1.029995441,1.026288152,1.020679235,1.024631619,1.051425219,1.026373863,1.018379092,1.026153922,1.022322416,1.017045617,1.02231288,1.023462772,1.026485085,1.015118003,1.013372779,1.020251155,1.016905427,1.015380144,1.019804358,1.02814877,1.022708058,1.021686435,1.026393533,1.030544519,1.020251155,1.012429833,1.026112914,1.026288152
6.664,1.023413658,1.017366648,1.019987106,1.024915099,1.024793506,1.022954345,1.017366648,1.029907346,1.020209074,1.018385768,1.021564126,1.030871272,1.024793506,1.012990713,1.021527648,1.029907346,1.018753171,1.017366648,1.02846849,1.029907346,1.026648402,1.020650148,1.02456224,1.051070929,1.026303053,1.018301845,1.026085138,1.022268295,1.0170151,1.022245049,1.023413658,1.026403427,1.015529871,1.013577342,1.020209074,1.017366648,1.015364766,1.019765973,1.028003216,1.022663236,1.021564126,1.026330113,1.02976644,1.020209074,1.012417555,1.026049376,1.026648402
6.67233,1.023362517,1.017843246,1.019977212,1.024758458,1.024691105,1.022888899,1.017843246,1.029818535,1.020167708,1.018264413,1.021447301,1.030775905,1.024691105,1.013229132,1.021474957,1.029818535,1.018720031,1.017843246,1.028425336,1.029818535,1.027024269,1.020620584,1.024493098,1.050584197,1.026232362,1.018226981,1.026015401,1.022214651,1.01698482,1.022177815,1.023362517,1.026321769,1.015937805,1.013767004,1.020167708,1.017843246,1.015349269,1.019726992,1.027856827,1.022618175,1.021447301,1.026265144,1.029101849,1.020167708,1.012405396,1.025984406,1.027024269
6.68066,1.023309946,1.018323183,1.01996839,1.02460289,1.024589062,1.022830248,1.018323183,1.029729009,1.020127177,1.018148899,1.021336198,1.030679822,1.024589062,1.013481736,1.02142179,1.029729009,1.018686771,1.018323183,1.028379917,1.029729009,1.027395368,1.020590186,1.024424434,1.050017118,1.026161909,1.018154263,1.025945306,1.022161484,1.016954541,1.022111177,1.023309946,1.026240349,1.016331553,1.013942242,1.020127177,1.018323183,1.015333652,1.019687891,1.027709723,1.022573233,1.021336198,1.026199341,1.028554201,1.020127177,1.012393236,1.025918365,1.027395368
6.68899,1.023256302,1.018809319,1.019960284,1.024448514,1.024487138,1.022778034,1.018809319,1.029638886,1.0200876,1.018039346,1.021230817,1.030583262,1.024487138,1.013756633,1.021368384,1.029638886,1.018653154,1.018809319,1.028332233,1.029638886,1.027761579,1.020559311,1.024356365,1.049430609,1.026091576,1.018083692,1.025874853,1.022108674,1.0169245,1.022045374,1.023256302,1.026158929,1.016705871,1.014105082,1.0200876,1.018809319,1.015317678,1.019648194,1.027562618,1.022528172,1.021230817,1.026132822,1.02812326,1.0200876,1.012381315,1.025851965,1.027761579
