Time,Outage1,Outage2,Outage3,Outage4,Outage5,Outage6,Outage7,Outage8,Outage9,Outage10,Outage11,Outage12,Outage13,Outage14,Outage15,Outage16,Outage17,Outage18,Outage19,Outage20,Outage21,Outage22,Outage23,Outage24,Outage25,Outage26,Outage27,Outage28,Outage29,Outage30,Outage31,Outage32,Outage33,Outage34,Outage35,Outage36,Outage37,Outage38,Outage39,Outage40,Outage41,Outage42,Outage43,Outage44,Outage45,Outage46,Outage47,Outage48,Outage49,Outage50,Outage51,Outage52
4.38158,0.99651742,0.983666003,1.005020857,1.006753922,0.970961452,1.031362057,1.003248096,1.010475278,1.006334543,0.990739882,0.983666003,0.971666038,0.99651742,1.005897045,1.008534431,0.98727113,1.011725426,1.005441785,1.020746469,1.013616204,1.031362057,1.014043212,0.974755526,1.008274078,0.970961452,0.969846904,0.99651742,1.007464409,1.016390085,0.976772606,1.013616204,1.009006262,1.006950974,1.004099011,1.02274704,1.006950974,1.031362057,1.010948658,1.002466321,1.009243011,1.005497456,1.006390333,1.007735252,1.005797863,1.034549713,1.005441785,1.004099011,0.976772606,1.007481217,1.008534431,1.006950974,0.965756834
4.38991,0.996466041,0.984007239,1.005086303,1.007009029,0.970820487,1.031714678,1.003332734,1.010591269,1.006401539,0.989782929,0.984007239,0.971722484,0.996466041,1.006001472,1.008594036,0.987367094,1.011667371,1.005548835,1.020945072,1.01409924,1.031714678,1.014757395,0.974598646,1.00839138,0.970820487,0.969661534,0.996466041,1.007521629,1.016792655,0.976669014,1.01409924,1.009051919,1.007016182,1.004291534,1.023298979,1.007016182,1.031714678,1.011208177,1.002603292,1.009285688,1.005632043,1.006461978,1.007787824,1.005884409,1.033929348,1.005548835,1.004291534,0.976669014,1.007552862,1.008594036,1.007016182,0.965576053
4.39824,0.996420205,0.984345794,1.005152345,1.007262826,0.970686257,1.032105565,1.003420115,1.010717154,1.006470084,0.98946178,0.984345794,0.973033786,0.996420205,1.006109357,1.008651972,0.987467349,1.011608124,1.005657196,1.021131873,1.014561057,1.032105565,1.015465617,0.974436164,1.008505106,0.970686257,0.969496131,0.996420205,1.007579565,1.017188072,0.976554751,1.014561057,1.009097934,1.007084012,1.004487514,1.023837328,1.007084012,1.032105565,1.011448383,1.002744317,1.009326696,1.005764365,1.006535769,1.00784111,1.005973339,1.033354282,1.005657196,1.004487514,0.976554751,1.00762713,1.008651972,1.007084012,0.965412259
4.40657,0.99637872,0.984673023,1.005219221,1.007514596,0.970551908,1.032533646,1.003510594,1.01085186,1.006540298,0.989795446,0.984673023,0.975626171,0.99637872,1.00622046,1.008708358,0.987571001,1.011548519,1.005766511,1.021306396,1.01500237,1.032533646,1.016165972,0.974273801,1.008615136,0.970551908,0.969348669,0.99637872,1.007638335,1.017575622,0.97642678,1.01500237,1.009144306,1.007154703,1.004686236,1.024360657,1.007154703,1.032533646,1.011668205,1.002889276,1.009366035,1.005894542,1.006611943,1.007895112,1.006064653,1.032816648,1.005766511,1.004686236,0.97642678,1.00770402,1.008708358,1.007154703,0.96527195
4.4149,0.996340334,0.984986365,1.005286813,1.007763743,0.97041142,1.032997847,1.003604412,1.010993838,1.006612301,0.990804136,0.984986365,0.979308426,0.996340334,1.006334782,1.008763075,0.987677097,1.011489034,1.00587678,1.021468401,1.015422106,1.032997847,1.016855717,0.974117696,1.008721352,0.97041142,0.969212651,0.996340334,1.007697225,1.017954111,0.976283967,1.015422106,1.009191036,1.007228017,1.004887342,1.024867773,1.007228017,1.032997847,1.011866808,1.003038168,1.009403586,1.006022692,1.006690502,1.007949948,1.00615859,1.032343507,1.00587678,1.004887342,0.976283967,1.007783413,1.008763075,1.007228017,0.965159118
4.42323,0.996303976,0.985285163,1.005355597,1.008009315,0.970260739,1.03349638,1.003701687,1.011142373,1.00668633,0.992504656,0.985285163,0.98364079,0.996303976,1.006451964,1.008816004,0.987784863,1.011430383,1.00598824,1.021617651,1.015819073,1.03349638,1.017532945,0.973973095,1.008823872,0.970260739,0.96908015,0.996303976,1.007757425,1.018323064,0.976126313,1.015819073,1.009238124,1.007304788,1.005090237,1.025357366,1.007304788,1.03349638,1.012044787,1.003191352,1.009439588,1.006148577,1.006771445,1.008005619,1.006255031,1.031928182,1.00598824,1.005090237,0.976126313,1.007865191,1.008816004,1.007304788,0.965076566
4.43156,0.996270776,0.985565603,1.005425811,1.008250713,0.970098197,1.034027934,1.003802896,1.01129663,1.006762147,0.994846523,0.985565603,0.98791635,0.996270776,1.00657177,1.008867264,0.987893641,1.011373162,1.006100774,1.021754146,1.016192079,1.034027934,1.01819551,0.973842978,1.008922577,0.970098197,0.968944252,0.996270776,1.00781846,1.018681407,0.975955486,1.016192079,1.009285569,1.007383108,1.005294442,1.025828362,1.007383108,1.034027934,1.012205482,1.003348589,1.00947392,1.006272554,1.006854892,1.008062243,1.006353974,1.031571507,1.006100774,1.005294442,0.975955486,1.007948995,1.008867264,1.007383108,0.9650172
4.43989,0.996239424,0.985816061,1.005497456,1.008487344,0.96992445,1.03459084,1.003908277,1.011455297,1.006840229,0.997821152,0.985816061,0.991683006,0.996239424,1.006694198,1.008916855,0.988003135,1.01131773,1.006214499,1.021877766,1.016540527,1.03459084,1.018841267,0.973726988,1.009017706,0.96992445,0.968799829,0.996239424,1.007880449,1.019027114,0.975775898,1.016540527,1.009333372,1.007464409,1.005499482,1.026279926,1.007464409,1.03459084,1.012348652,1.003509879,1.009506702,1.006394267,1.006940722,1.008119583,1.006455421,1.031274319,1.006214499,1.005499482,0.975775898,1.008035183,1.008916855,1.007464409,0.964973807
4.44822,0.996210396,0.986018658,1.00557065,1.008718371,0.969743192,1.035185695,1.004017949,1.011617541,1.006920457,1.00135994,0.986018658,0.994542837,0.996210396,1.006818891,1.008964658,0.988113344,1.011264801,1.006329298,1.021988392,1.016863942,1.035185695,1.019468665,0.973621905,1.009108901,0.969743192,0.968643785,0.996210396,1.007943511,1.019358635,0.975592434,1.016863942,1.009381652,1.00754869,1.005703688,1.026710749,1.00754869,1.035185695,1.012475967,1.00367558,1.009538054,1.006514072,1.007029057,1.008177996,1.006559372,1.031033039,1.006329298,1.005703688,0.975592434,1.008123517,1.008964658,1.00754869,0.964938104
4.45655,0.996183276,0.986152351,1.005646706,1.0089432,0.969560087,1.035805464,1.004132271,1.011782289,1.007002831,1.005410552,0.986152351,0.996280134,0.996183276,1.006945848,1.009010911,0.988224506,1.011214852,1.006445169,1.022086382,1.017161727,1.035805464,1.020075798,0.973521948,1.009196758,0.969560087,0.968475997,0.996183276,1.008007407,1.01967454,0.975410104,1.017161727,1.009430289,1.007635832,1.005907655,1.027118921,1.007635832,1.035805464,1.012589335,1.003845334,1.009568214,1.006631851,1.007119775,1.008237481,1.006665945,1.030856252,1.006445169,1.005907655,0.975410104,1.008214116,1.009010911,1.007635832,0.96490401
